POINTNUM,BAYNUM,POINTNAME,LAT,LON,Hg,Pv,HgPupSurveySite,PvPupSurveySite
387,9,Scraggy Ledge,44.10282,-68.69174,,Y,,Y
32,1,Scrub Island,44.845845,-67.04508,,Y,,Y
33,1,Scrub Island Ledge,44.84773333,-67.04280167,,Y,,Y
176,5,Seaduck Rock,44.491,-67.65203333,,Y,,Y
900,19,Seal Bay Rocks,44.08885,-68.8038,,Y,,Y
323,8,Seal Cove 6,44.16480306,-68.48271484,,Y,,Y
901,19,Seal Cove Ledge 2,44.10706667,-68.86318333,,Y,,Y
242,6,Seal Cove Ledge 3,44.43895,-67.85613333,,Y,,Y
660,14,Seal Cove Ledge 4,43.88756167,-69.5691,,Y,,Y
69,2,Seal Cove Ledge 5,44.60142008,-67.31899007,,Y,,Y
528,12,Seal Head Point Rock,43.119715,-70.63134,,Y,,Y
22,9,Seal Island,43.88333333,-68.73333333,Y,,Y,
661,14,Seal Island 1,43.70677833,-69.82845833,,Y,,Y
763,17,Seal Island 2,43.8884,-68.73756667,Y,Y,,Y
976,22,Seal Island 3,43.98363333,-69.12306667,,Y,,Y
494,11,Seal Ledge 2,44.41202333,-68.49295167,,Y,,Y
94,3,Seal Ledge 3,44.57696167,-67.50353167,,Y,,Y
727,16,Seal Ledge 4,43.87348333,-69.34168333,,Y,,Y
902,19,Seal Ledge 5,44.07068333,-68.93645,Y,Y,,Y
764,17,Seal Ledge 6,43.82415,-68.87781667,,Y,,Y
765,17,Seal Ledge 8,43.77426833,-69.311515,,Y,,Y
551,13,Seal Ledge 9,43.73222167,-70.14122667,,Y,,Y
24,9,Seal Ledges,43.87341667,-69.34178333,,Y,,Y
462,10,Seal Ledges 7,44.04024667,-68.60180667,,Y,,Y
271,7,Seal Point Ledge,44.51096667,-68.29904833,,Y,,Y
529,12,Seal Rock 2,43.55688833,-70.22735167,,Y,,Y
177,5,Seal Rock 3,44.43798333,-67.61618333,,Y,,Y
662,14,Seal Rock 4,43.99019,-69.66284167,,Y,,Y
918,20,Sears Island Ledge,44.429,-68.89,,Y,,Y
